,Student ID,student_name,gender,grade,school_name,reading_score,math_score,School ID,type,size,budget
187,187,Miss Kelly King,F,9th,Stewart High School,93,70,0,Charter,1208,740504
188,188,Logan Kennedy,M,10th,Stewart High School,96,82,0,Charter,1208,740504
189,189,Dr. Linda Schmidt,F,9th,Stewart High School,96,93,0,Charter,1208,740504
190,190,Angela Pena,F,10th,Stewart High School,98,95,0,Charter,1208,740504
191,191,Tasha Sanchez,F,12th,Stewart High School,97,90,0,Charter,1208,740504
192,192,Elijah Jackson,M,9th,Stewart High School,99,95,0,Charter,1208,740504
193,193,Steven Rose,M,9th,Stewart High School,95,90,0,Charter,1208,740504
194,194,Alyssa Mendoza DDS,F,10th,Stewart High School,91,92,0,Charter,1208,740504
195,195,Karen Preston,F,9th,Stewart High School,99,84,0,Charter,1208,740504
196,196,John Harris,M,10th,Stewart High School,96,96,0,Charter,1208,740504
197,197,Gary Calderon,M,12th,Stewart High School,91,97,0,Charter,1208,740504
198,198,Adam Lewis,M,12th,Stewart High School,96,89,0,Charter,1208,740504
199,199,Nicole Hogan,F,10th,Stewart High School,96,70,0,Charter,1208,740504
200,200,Robert Fisher,M,10th,Stewart High School,95,99,0,Charter,1208,740504
201,201,Thomas Jones,M,11th,Stewart High School,91,92,0,Charter,1208,740504
202,202,Jeremy Edwards,M,12th,Stewart High School,92,94,0,Charter,1208,740504
203,203,Heather French,F,9th,Stewart High School,98,86,0,Charter,1208,740504
204,204,Stacey Ortiz,F,12th,Stewart High School,99,81,0,Charter,1208,740504
205,205,Jeffrey Sandoval,M,10th,Stewart High School,95,72,0,Charter,1208,740504
206,206,Bradley Murphy,M,11th,Stewart High School,97,89,0,Charter,1208,740504
207,207,Regina Aguilar,F,11th,Stewart High School,95,73,0,Charter,1208,740504
208,208,Tonya Cortez,F,9th,Stewart High School,96,93,0,Charter,1208,740504
209,209,John Russell,M,12th,Stewart High School,89,72,0,Charter,1208,740504
210,210,Tammy Brown,F,11th,Stewart High School,92,86,0,Charter,1208,740504
211,211,Kelly Webb,F,12th,Stewart High School,92,83,0,Charter,1208,740504
212,212,Laura Rodriguez,F,10th,Stewart High School,91,78,0,Charter,1208,740504
213,213,Anna Smith,F,9th,Stewart High School,95,81,0,Charter,1208,740504
214,214,Tammy Archer,F,11th,Stewart High School,89,81,0,Charter,1208,740504
215,215,Andrew Phillips,M,11th,Stewart High School,90,71,0,Charter,1208,740504
216,216,John Bauer,M,9th,Stewart High School,99,81,0,Charter,1208,740504
217,217,Robert Campbell,M,11th,Stewart High School,97,79,0,Charter,1208,740504
218,218,Jared Grant,M,10th,Stewart High School,92,86,0,Charter,1208,740504
219,219,Dwayne Meyer,M,10th,Stewart High School,94,94,0,Charter,1208,740504
220,220,Shannon York DVM,F,11th,Stewart High School,90,89,0,Charter,1208,740504
221,221,Renee Hughes,F,12th,Stewart High School,97,99,0,Charter,1208,740504
222,222,Deborah Adams,F,10th,Stewart High School,91,88,0,Charter,1208,740504
223,223,Sean Williams,M,11th,Stewart High School,92,78,0,Charter,1208,740504
224,224,William Fisher,M,10th,Stewart High School,95,90,0,Charter,1208,740504
225,225,Meredith Miller,F,9th,Stewart High School,99,93,0,Charter,1208,740504
226,226,Kurt Martinez,M,9th,Stewart High School,96,94,0,Charter,1208,740504
227,227,David Waller,M,9th,Stewart High School,99,69,0,Charter,1208,740504
228,228,Cheryl Gutierrez,F,9th,Stewart High School,95,75,0,Charter,1208,740504
229,229,Robert Brown,M,9th,Stewart High School,99,77,0,Charter,1208,740504
230,230,Marie Bartlett,F,10th,Stewart High School,89,83,0,Charter,1208,740504
231,231,Molly Rodriguez,F,12th,Stewart High School,92,99,0,Charter,1208,740504
232,232,Mark Rangel,M,10th,Stewart High School,89,97,0,Charter,1208,740504
233,233,Patrick Sullivan,M,10th,Stewart High School,90,90,0,Charter,1208,740504
234,234,Danielle Cooke,F,12th,Stewart High School,92,92,0,Charter,1208,740504
235,235,Bobby Martinez,M,11th,Stewart High School,98,75,0,Charter,1208,740504
236,236,Alan Howell,M,12th,Stewart High School,93,77,0,Charter,1208,740504
237,237,Dominic Kerr,M,9th,Stewart High School,95,72,0,Charter,1208,740504
238,238,John Haynes,M,12th,Stewart High School,96,98,0,Charter,1208,740504
239,239,Jeremy Bailey,M,10th,Stewart High School,96,75,0,Charter,1208,740504
240,240,Tammy Wyatt,F,11th,Stewart High School,90,81,0,Charter,1208,740504
241,241,William Rodgers,M,12th,Stewart High School,92,74,0,Charter,1208,740504
242,242,Cynthia Ramirez,F,9th,Stewart High School,94,84,0,Charter,1208,740504
243,243,Terry Allen,F,11th,Stewart High School,97,91,0,Charter,1208,740504
244,244,Jose Williams,M,9th,Stewart High School,92,91,0,Charter,1208,740504
245,245,Michelle Ellis,F,12th,Stewart High School,97,92,0,Charter,1208,740504
246,246,Lori Jackson DDS,F,11th,Stewart High School,91,97,0,Charter,1208,740504
247,247,Keith Rodriguez PhD,M,11th,Stewart High School,93,70,0,Charter,1208,740504
248,248,Laura Duarte,F,10th,Stewart High School,97,76,0,Charter,1208,740504
249,249,Mr. Brian Dunn DDS,M,11th,Stewart High School,93,72,0,Charter,1208,740504
250,250,Carol Ward,F,10th,Stewart High School,95,88,0,Charter,1208,740504
251,251,Peter Barrett,M,12th,Stewart High School,96,87,0,Charter,1208,740504
252,252,James Miller,M,11th,Stewart High School,99,90,0,Charter,1208,740504
253,253,Jacob Anderson,M,12th,Stewart High School,93,69,0,Charter,1208,740504
254,254,Megan Anderson,F,9th,Stewart High School,96,81,0,Charter,1208,740504
255,255,Timothy Young,M,12th,Stewart High School,95,72,0,Charter,1208,740504
256,256,Melissa Howe,F,12th,Stewart High School,92,98,0,Charter,1208,740504
257,257,Cheryl Shaw,F,10th,Stewart High School,91,81,0,Charter,1208,740504
258,258,Ashley Perry,F,11th,Stewart High School,98,94,0,Charter,1208,740504
259,259,Robert Cruz DDS,M,12th,Stewart High School,91,70,0,Charter,1208,740504
260,260,Michael Livingston,M,9th,Stewart High School,99,82,0,Charter,1208,740504
261,261,Sheila Johnston,F,12th,Stewart High School,99,98,0,Charter,1208,740504
262,262,Thomas Bauer,M,11th,Stewart High School,90,88,0,Charter,1208,740504
263,263,Luis Ochoa,M,10th,Stewart High School,97,73,0,Charter,1208,740504
264,264,Michael Irwin,M,9th,Stewart High School,96,74,0,Charter,1208,740504
265,265,Kelly Wilcox,F,12th,Stewart High School,98,92,0,Charter,1208,740504
266,266,Sarah King,F,9th,Stewart High School,93,77,0,Charter,1208,740504
267,267,Bradley Diaz,M,10th,Stewart High School,97,88,0,Charter,1208,740504
268,268,Tracey Ramirez,F,11th,Stewart High School,98,92,0,Charter,1208,740504
269,269,Connor Price,M,9th,Stewart High School,91,71,0,Charter,1208,740504
270,270,Kenneth Stevenson,M,10th,Stewart High School,91,91,0,Charter,1208,740504
271,271,Daniel Small,M,10th,Stewart High School,93,88,0,Charter,1208,740504
272,272,Kathleen Lawson,F,12th,Stewart High School,92,74,0,Charter,1208,740504
273,273,Mario Daugherty,M,11th,Stewart High School,96,92,0,Charter,1208,740504
274,274,Martin Meadows,M,11th,Stewart High School,98,80,0,Charter,1208,740504
275,275,Elizabeth Horn,F,12th,Stewart High School,93,87,0,Charter,1208,740504
276,276,Sarah Mcdaniel,F,11th,Stewart High School,91,83,0,Charter,1208,740504
277,277,Shannon Bryant,F,12th,Stewart High School,91,93,0,Charter,1208,740504
278,278,Courtney Avila,F,10th,Stewart High School,92,76,0,Charter,1208,740504
279,279,Kelly Murray,M,10th,Stewart High School,93,99,0,Charter,1208,740504
280,280,Julian Scott,M,9th,Stewart High School,96,77,0,Charter,1208,740504
281,281,Courtney Mckay,F,11th,Stewart High School,95,77,0,Charter,1208,740504
282,282,Jaime Singh,M,10th,Stewart High School,91,89,0,Charter,1208,740504
283,283,Sarah Simpson,F,11th,Stewart High School,92,76,0,Charter,1208,740504
284,284,Jennifer Dean,F,12th,Stewart High School,89,71,0,Charter,1208,740504
285,285,Johnathan Jimenez,M,10th,Stewart High School,91,87,0,Charter,1208,740504
286,286,Rebecca Powell,F,12th,Stewart High School,92,72,0,Charter,1208,740504
287,287,Megan Olson,F,9th,Stewart High School,90,81,0,Charter,1208,740504
288,288,Sherry Butler,F,12th,Stewart High School,89,90,0,Charter,1208,740504
289,289,Daniel Hansen,M,10th,Stewart High School,91,95,0,Charter,1208,740504
290,290,Megan Gibson,F,11th,Stewart High School,95,86,0,Charter,1208,740504
291,291,Joshua Jones,M,12th,Stewart High School,96,97,0,Charter,1208,740504
292,292,Krystal Nolan,F,9th,Stewart High School,91,90,0,Charter,1208,740504
293,293,Judy Ramsey,F,10th,Stewart High School,98,96,0,Charter,1208,740504
294,294,Matthew Smith,M,9th,Stewart High School,92,91,0,Charter,1208,740504
295,295,Maureen Spencer,F,10th,Stewart High School,99,96,0,Charter,1208,740504
296,296,Gregory Guzman,M,9th,Stewart High School,95,68,0,Charter,1208,740504
297,297,Kathleen Meza,F,12th,Stewart High School,92,84,0,Charter,1208,740504
298,298,Michael Mcdowell,M,10th,Stewart High School,93,90,0,Charter,1208,740504
299,299,Fred Stephenson,M,11th,Stewart High School,91,97,0,Charter,1208,740504
300,300,Jason Murphy,M,9th,Stewart High School,92,87,0,Charter,1208,740504
301,301,Carol Cunningham,F,11th,Stewart High School,93,89,0,Charter,1208,740504
302,302,Julia Nixon,F,10th,Stewart High School,99,92,0,Charter,1208,740504
303,303,Jamie Walsh,F,12th,Stewart High School,96,70,0,Charter,1208,740504
304,304,Mary Noble,F,10th,Stewart High School,93,91,0,Charter,1208,740504
305,305,Marvin Wade,M,9th,Stewart High School,97,68,0,Charter,1208,740504
306,306,Mark Wilson,M,12th,Stewart High School,91,92,0,Charter,1208,740504
307,307,Sean Gilmore,M,11th,Stewart High School,92,80,0,Charter,1208,740504
308,308,Riley Brooks,M,12th,Stewart High School,97,83,0,Charter,1208,740504
309,309,Gavin Good,M,10th,Stewart High School,92,86,0,Charter,1208,740504
310,310,Vanessa Jackson,F,9th,Stewart High School,92,99,0,Charter,1208,740504
311,311,Charles Nguyen,M,11th,Stewart High School,90,85,0,Charter,1208,740504
312,312,Michael Alvarez,M,11th,Stewart High School,97,77,0,Charter,1208,740504
313,313,Mary Maldonado,F,11th,Stewart High School,95,79,0,Charter,1208,740504
314,314,Brittany George,F,10th,Stewart High School,92,75,0,Charter,1208,740504
315,315,Jeffrey Steele,M,12th,Stewart High School,94,92,0,Charter,1208,740504
316,316,Matthew Mcbride Jr.,M,11th,Stewart High School,95,81,0,Charter,1208,740504
317,317,Matthew West,M,10th,Stewart High School,91,96,0,Charter,1208,740504
318,318,Jamie Garrison,F,11th,Stewart High School,93,94,0,Charter,1208,740504
319,319,Melissa Butler,F,12th,Stewart High School,96,87,0,Charter,1208,740504
320,320,Melissa Holmes,F,9th,Stewart High School,96,93,0,Charter,1208,740504
321,321,Jonathan Jefferson,M,9th,Stewart High School,95,87,0,Charter,1208,740504
322,322,Dr. Ray Armstrong MD,M,12th,Stewart High School,93,90,0,Charter,1208,740504
323,323,Jessica Griffin,F,11th,Stewart High School,97,86,0,Charter,1208,740504
324,324,Kaitlin Robinson,F,9th,Stewart High School,98,84,0,Charter,1208,740504
325,325,Catherine Graves,F,10th,Stewart High School,93,96,0,Charter,1208,740504
326,326,James Shannon,M,12th,Stewart High School,93,72,0,Charter,1208,740504
327,327,Selena Cherry,F,12th,Stewart High School,97,99,0,Charter,1208,740504
328,328,Glen Farley,M,12th,Stewart High School,97,78,0,Charter,1208,740504
329,329,Linda Robinson,F,10th,Stewart High School,98,77,0,Charter,1208,740504
330,330,David Ramirez,M,12th,Stewart High School,90,93,0,Charter,1208,740504
331,331,Phillip Thompson,M,12th,Stewart High School,96,81,0,Charter,1208,740504
332,332,Joseph Henderson,M,9th,Stewart High School,90,72,0,Charter,1208,740504
333,333,Michelle Gutierrez,F,9th,Stewart High School,90,70,0,Charter,1208,740504
334,334,Melissa Pierce,F,10th,Stewart High School,96,79,0,Charter,1208,740504
335,335,Valerie Davis,F,9th,Stewart High School,99,70,0,Charter,1208,740504
336,336,Jose Avila,M,10th,Stewart High School,89,77,0,Charter,1208,740504
337,337,Sylvia Boone,F,9th,Stewart High School,91,74,0,Charter,1208,740504
338,338,Rebecca Hartman,F,10th,Stewart High School,93,86,0,Charter,1208,740504
339,339,Samantha Rice,F,11th,Stewart High School,99,76,0,Charter,1208,740504
340,340,Brandon Lowe,M,12th,Stewart High School,97,85,0,Charter,1208,740504
341,341,Anthony Hawkins,M,12th,Stewart High School,97,77,0,Charter,1208,740504
342,342,Michelle Duran,F,10th,Stewart High School,93,86,0,Charter,1208,740504
