student_name,gender,grade,school_name,type,reading_score,math_score
Brooke Flores,F,10th,Stewart High School,Charter,98,71
Angela Rodriguez DVM,F,12th,Stewart High School,Charter,96,87
Wendy Henderson,F,10th,Stewart High School,Charter,90,82
Steven Mcmahon,M,9th,Stewart High School,Charter,90,76
Desiree Hanson,F,10th,Stewart High School,Charter,95,89
Daniel Perez,M,12th,Stewart High School,Charter,99,87
Terry Pierce,M,10th,Stewart High School,Charter,99,68
Cynthia Merritt,F,12th,Stewart High School,Charter,97,88
Isaac Benson,M,10th,Stewart High School,Charter,99,89
Bryan White,M,9th,Stewart High School,Charter,91,81
Christian Moody,M,10th,Stewart High School,Charter,96,91
Kurt Warren,M,9th,Stewart High School,Charter,95,98
Stacey Dean,F,9th,Stewart High School,Charter,99,84
Christina Perry,F,12th,Stewart High School,Charter,99,83
Zachary Macdonald,M,12th,Stewart High School,Charter,96,75
Seth Reyes,M,11th,Stewart High School,Charter,96,91
Angela Ruiz MD,F,10th,Stewart High School,Charter,97,79
Pamela Baker,F,9th,Stewart High School,Charter,95,85
Kevin Espinoza,M,11th,Stewart High School,Charter,97,95
Deanna Moore,F,12th,Stewart High School,Charter,97,83
Randy Williams,M,9th,Stewart High School,Charter,90,89
Krista Mcguire,F,10th,Stewart High School,Charter,94,91
Roger Wilson,M,9th,Stewart High School,Charter,93,81
Marvin Howell,M,11th,Stewart High School,Charter,90,73
Susan Fisher,F,11th,Stewart High School,Charter,97,82
Paul Johnson,M,12th,Stewart High School,Charter,99,90
Christopher Howard,M,9th,Stewart High School,Charter,96,73
Keith Newman,M,12th,Stewart High School,Charter,96,79
Christopher Stevens,M,10th,Stewart High School,Charter,90,75
Brian Murray,M,10th,Stewart High School,Charter,95,77
Jeffrey Beck,M,11th,Stewart High School,Charter,94,98
Mariah Hughes,F,9th,Stewart High School,Charter,91,93
Christine Hoover,F,12th,Stewart High School,Charter,89,85
Thomas Hodges,M,12th,Stewart High School,Charter,99,94
Derek Dillon,M,11th,Stewart High School,Charter,97,68
Cheyenne Murphy,F,9th,Stewart High School,Charter,98,68
Mrs. Heather Schwartz,F,10th,Stewart High School,Charter,95,87
Timothy Wagner,M,12th,Stewart High School,Charter,98,80
David Jackson,M,9th,Stewart High School,Charter,95,91
Matthew Gonzales,M,9th,Stewart High School,Charter,90,93
Samantha Hall,F,12th,Stewart High School,Charter,97,85
Christopher Robinson,M,9th,Stewart High School,Charter,95,87
Stacie Reynolds,F,11th,Stewart High School,Charter,92,74
Robert Martinez,M,9th,Stewart High School,Charter,98,70
Kathryn Esparza,F,11th,Stewart High School,Charter,89,81
Lindsay Barnett,F,11th,Stewart High School,Charter,99,92
Christie Rivers,F,10th,Stewart High School,Charter,98,70
Jennifer Cruz,F,10th,Stewart High School,Charter,92,85
Megan Dawson,F,9th,Stewart High School,Charter,90,87
Christopher Allen,M,11th,Stewart High School,Charter,89,78
Stephanie Mueller,F,12th,Stewart High School,Charter,96,81
Christine Bailey,F,12th,Stewart High School,Charter,93,84
Samantha Alvarez,F,9th,Stewart High School,Charter,96,91
Alicia White,F,10th,Stewart High School,Charter,95,79
Jean Gibson,F,10th,Stewart High School,Charter,93,69
Linda Cooper,F,11th,Stewart High School,Charter,89,81
Peter Taylor,M,10th,Stewart High School,Charter,96,93
Robert Cervantes,M,9th,Stewart High School,Charter,95,99
Steven Hendrix,M,11th,Stewart High School,Charter,90,74
John Mercado,M,11th,Stewart High School,Charter,91,78
Aaron Zamora MD,M,12th,Stewart High School,Charter,96,83
Michael Gordon,M,11th,Stewart High School,Charter,95,77
James Quinn,M,11th,Stewart High School,Charter,91,71
Crystal Hamilton,F,11th,Stewart High School,Charter,94,75
Jennifer Ramirez,F,12th,Stewart High School,Charter,97,99
Pamela Miller,F,11th,Stewart High School,Charter,95,89
Ricky Smith,M,11th,Stewart High School,Charter,99,86
Mark Castillo,M,10th,Stewart High School,Charter,89,75
Cassandra Graham,F,9th,Stewart High School,Charter,90,84
Julie Baker,F,9th,Stewart High School,Charter,97,81
Nicole Webster,F,9th,Stewart High School,Charter,96,89
Jessica Carter,F,10th,Stewart High School,Charter,95,74
Rick Cannon,M,11th,Stewart High School,Charter,97,68
Stephanie Lopez,F,9th,Stewart High School,Charter,91,93
Jay White,M,11th,Stewart High School,Charter,90,97
Susan Osborne,F,12th,Stewart High School,Charter,96,74
Jasmine Campos,F,12th,Stewart High School,Charter,98,72
Sarah Le,F,9th,Stewart High School,Charter,99,90
Leslie Costa,F,10th,Stewart High School,Charter,92,90
John Walker,M,12th,Stewart High School,Charter,93,88
Lisa Simpson,F,9th,Stewart High School,Charter,94,91
Karen Lane,F,11th,Stewart High School,Charter,89,87
Chris Beck,M,12th,Stewart High School,Charter,90,79
Jorge Mcintosh,M,10th,Stewart High School,Charter,99,87
Ashley Thompson,F,11th,Stewart High School,Charter,99,76
Kenneth Watkins,M,9th,Stewart High School,Charter,94,95
Travis Porter,M,11th,Stewart High School,Charter,97,95
Lisa Duncan,F,9th,Stewart High School,Charter,90,89
William Mitchell,M,10th,Stewart High School,Charter,97,85
Joshua Edwards,M,10th,Stewart High School,Charter,97,73
Aaron Mills,M,9th,Stewart High School,Charter,89,86
Daniel Parker,M,10th,Stewart High School,Charter,96,86
Kimberly Gaines,F,11th,Stewart High School,Charter,93,71
Lucas Smith,M,9th,Stewart High School,Charter,90,76
Christopher Powell,M,12th,Stewart High School,Charter,90,99
Alejandra Williams,F,10th,Stewart High School,Charter,89,98
Steven Washington,M,10th,Stewart High School,Charter,91,95
Jeffrey Gonzalez,M,12th,Stewart High School,Charter,93,99
Melanie Lester,F,10th,Stewart High School,Charter,94,83
Colin Moore,M,11th,Stewart High School,Charter,96,75
Rebecca Hobbs,F,9th,Stewart High School,Charter,98,81
Tamara Hampton,F,10th,Stewart High School,Charter,96,96
Linda Mann,F,11th,Stewart High School,Charter,91,87
Kevin Peterson,M,10th,Stewart High School,Charter,99,94
Christopher Greene,M,10th,Stewart High School,Charter,96,76
Michael Butler,M,10th,Stewart High School,Charter,91,95
Peter Perez,M,10th,Stewart High School,Charter,90,78
Matthew Cruz,M,11th,Stewart High School,Charter,98,72
Richard Hall,M,9th,Stewart High School,Charter,98,84
Timothy Valencia,M,12th,Stewart High School,Charter,95,68
Nicole Wright,F,12th,Stewart High School,Charter,94,97
Melissa Eaton,F,9th,Stewart High School,Charter,98,96
Joseph Carlson,M,11th,Stewart High School,Charter,91,80
Rebecca Burgess,F,11th,Stewart High School,Charter,91,91
Margaret Mcbride,F,12th,Stewart High School,Charter,93,88
Juan Sullivan,M,11th,Stewart High School,Charter,93,88
Lauren Jacobson,F,12th,Stewart High School,Charter,91,84
Mark Bryan,M,9th,Stewart High School,Charter,98,87
Michael Zhang,M,11th,Stewart High School,Charter,95,78
Darlene Robertson,F,11th,Stewart High School,Charter,95,98
James Carlson,M,12th,Stewart High School,Charter,93,85
Rhonda Perry,F,11th,Stewart High School,Charter,92,99
Joanna Reed,F,10th,Stewart High School,Charter,95,71
Thomas Williams,M,10th,Stewart High School,Charter,91,91
Donald Rodriguez,M,9th,Stewart High School,Charter,96,85
Jeremy Griffin,M,9th,Stewart High School,Charter,92,72
Kathleen Miller,F,12th,Stewart High School,Charter,99,70
William Walker,M,10th,Stewart High School,Charter,99,71
Brent Hernandez,M,12th,Stewart High School,Charter,93,81
Jake Chen,M,12th,Stewart High School,Charter,90,90
Miss Amy Willis,F,10th,Stewart High School,Charter,95,80
Tammy Garza,F,9th,Stewart High School,Charter,97,93
Michael Rodriguez,M,10th,Stewart High School,Charter,92,81
Carlos Stephenson,M,12th,Stewart High School,Charter,89,81
Judith Navarro,F,12th,Stewart High School,Charter,94,73
Seth Miller,M,10th,Stewart High School,Charter,97,73
Anthony Ramirez,M,9th,Stewart High School,Charter,99,95
April Spencer,F,11th,Stewart High School,Charter,90,93
Mario Gilbert,M,10th,Stewart High School,Charter,97,96
Paula Jones,F,11th,Stewart High School,Charter,97,94
Amy Crawford,F,11th,Stewart High School,Charter,95,73
Kevin King,M,9th,Stewart High School,Charter,89,80
Scott Osborne,M,9th,Stewart High School,Charter,92,89
Alison Carr,F,10th,Stewart High School,Charter,95,78
Patrick Lin,M,10th,Stewart High School,Charter,89,98
Nicholas Kelly,M,12th,Stewart High School,Charter,92,77
Mindy Daniels,F,12th,Stewart High School,Charter,91,70
Michelle Hall,F,10th,Stewart High School,Charter,91,72
Samantha Garner,F,9th,Stewart High School,Charter,90,89
Miss Kelly King,F,9th,Stewart High School,Charter,93,70
Logan Kennedy,M,10th,Stewart High School,Charter,96,82
Dr. Linda Schmidt,F,9th,Stewart High School,Charter,96,93
Angela Pena,F,10th,Stewart High School,Charter,98,95
Tasha Sanchez,F,12th,Stewart High School,Charter,97,90
Elijah Jackson,M,9th,Stewart High School,Charter,99,95
Steven Rose,M,9th,Stewart High School,Charter,95,90
Alyssa Mendoza DDS,F,10th,Stewart High School,Charter,91,92
Karen Preston,F,9th,Stewart High School,Charter,99,84
John Harris,M,10th,Stewart High School,Charter,96,96
Gary Calderon,M,12th,Stewart High School,Charter,91,97
Adam Lewis,M,12th,Stewart High School,Charter,96,89
Nicole Hogan,F,10th,Stewart High School,Charter,96,70
Robert Fisher,M,10th,Stewart High School,Charter,95,99
Thomas Jones,M,11th,Stewart High School,Charter,91,92
Jeremy Edwards,M,12th,Stewart High School,Charter,92,94
Heather French,F,9th,Stewart High School,Charter,98,86
Stacey Ortiz,F,12th,Stewart High School,Charter,99,81
Jeffrey Sandoval,M,10th,Stewart High School,Charter,95,72
Bradley Murphy,M,11th,Stewart High School,Charter,97,89
Regina Aguilar,F,11th,Stewart High School,Charter,95,73
Tonya Cortez,F,9th,Stewart High School,Charter,96,93
John Russell,M,12th,Stewart High School,Charter,89,72
Tammy Brown,F,11th,Stewart High School,Charter,92,86
Kelly Webb,F,12th,Stewart High School,Charter,92,83
Laura Rodriguez,F,10th,Stewart High School,Charter,91,78
Anna Smith,F,9th,Stewart High School,Charter,95,81
Tammy Archer,F,11th,Stewart High School,Charter,89,81
Andrew Phillips,M,11th,Stewart High School,Charter,90,71
John Bauer,M,9th,Stewart High School,Charter,99,81
Robert Campbell,M,11th,Stewart High School,Charter,97,79
Jared Grant,M,10th,Stewart High School,Charter,92,86
Dwayne Meyer,M,10th,Stewart High School,Charter,94,94
Shannon York DVM,F,11th,Stewart High School,Charter,90,89
Renee Hughes,F,12th,Stewart High School,Charter,97,99
Deborah Adams,F,10th,Stewart High School,Charter,91,88
Sean Williams,M,11th,Stewart High School,Charter,92,78
William Fisher,M,10th,Stewart High School,Charter,95,90
Meredith Miller,F,9th,Stewart High School,Charter,99,93
Kurt Martinez,M,9th,Stewart High School,Charter,96,94
David Waller,M,9th,Stewart High School,Charter,99,69
Cheryl Gutierrez,F,9th,Stewart High School,Charter,95,75
Robert Brown,M,9th,Stewart High School,Charter,99,77
Marie Bartlett,F,10th,Stewart High School,Charter,89,83
Molly Rodriguez,F,12th,Stewart High School,Charter,92,99
Mark Rangel,M,10th,Stewart High School,Charter,89,97
Patrick Sullivan,M,10th,Stewart High School,Charter,90,90
Danielle Cooke,F,12th,Stewart High School,Charter,92,92
Bobby Martinez,M,11th,Stewart High School,Charter,98,75
Alan Howell,M,12th,Stewart High School,Charter,93,77
Dominic Kerr,M,9th,Stewart High School,Charter,95,72
John Haynes,M,12th,Stewart High School,Charter,96,98
Jeremy Bailey,M,10th,Stewart High School,Charter,96,75
Tammy Wyatt,F,11th,Stewart High School,Charter,90,81
William Rodgers,M,12th,Stewart High School,Charter,92,74
Cynthia Ramirez,F,9th,Stewart High School,Charter,94,84
Terry Allen,F,11th,Stewart High School,Charter,97,91
Jose Williams,M,9th,Stewart High School,Charter,92,91
Michelle Ellis,F,12th,Stewart High School,Charter,97,92
Lori Jackson DDS,F,11th,Stewart High School,Charter,91,97
Keith Rodriguez PhD,M,11th,Stewart High School,Charter,93,70
Laura Duarte,F,10th,Stewart High School,Charter,97,76
Mr. Brian Dunn DDS,M,11th,Stewart High School,Charter,93,72
Carol Ward,F,10th,Stewart High School,Charter,95,88
Peter Barrett,M,12th,Stewart High School,Charter,96,87
James Miller,M,11th,Stewart High School,Charter,99,90
Jacob Anderson,M,12th,Stewart High School,Charter,93,69
Megan Anderson,F,9th,Stewart High School,Charter,96,81
Timothy Young,M,12th,Stewart High School,Charter,95,72
Melissa Howe,F,12th,Stewart High School,Charter,92,98
Cheryl Shaw,F,10th,Stewart High School,Charter,91,81
Ashley Perry,F,11th,Stewart High School,Charter,98,94
Robert Cruz DDS,M,12th,Stewart High School,Charter,91,70
Michael Livingston,M,9th,Stewart High School,Charter,99,82
Sheila Johnston,F,12th,Stewart High School,Charter,99,98
Thomas Bauer,M,11th,Stewart High School,Charter,90,88
Luis Ochoa,M,10th,Stewart High School,Charter,97,73
Michael Irwin,M,9th,Stewart High School,Charter,96,74
Kelly Wilcox,F,12th,Stewart High School,Charter,98,92
Sarah King,F,9th,Stewart High School,Charter,93,77
Bradley Diaz,M,10th,Stewart High School,Charter,97,88
Tracey Ramirez,F,11th,Stewart High School,Charter,98,92
Connor Price,M,9th,Stewart High School,Charter,91,71
Kenneth Stevenson,M,10th,Stewart High School,Charter,91,91
Daniel Small,M,10th,Stewart High School,Charter,93,88
Kathleen Lawson,F,12th,Stewart High School,Charter,92,74
Mario Daugherty,M,11th,Stewart High School,Charter,96,92
Martin Meadows,M,11th,Stewart High School,Charter,98,80
Elizabeth Horn,F,12th,Stewart High School,Charter,93,87
Sarah Mcdaniel,F,11th,Stewart High School,Charter,91,83
Shannon Bryant,F,12th,Stewart High School,Charter,91,93
Courtney Avila,F,10th,Stewart High School,Charter,92,76
Kelly Murray,M,10th,Stewart High School,Charter,93,99
Julian Scott,M,9th,Stewart High School,Charter,96,77
Courtney Mckay,F,11th,Stewart High School,Charter,95,77
Jaime Singh,M,10th,Stewart High School,Charter,91,89
Sarah Simpson,F,11th,Stewart High School,Charter,92,76
Jennifer Dean,F,12th,Stewart High School,Charter,89,71
Johnathan Jimenez,M,10th,Stewart High School,Charter,91,87
Rebecca Powell,F,12th,Stewart High School,Charter,92,72
Megan Olson,F,9th,Stewart High School,Charter,90,81
Sherry Butler,F,12th,Stewart High School,Charter,89,90
Daniel Hansen,M,10th,Stewart High School,Charter,91,95
Megan Gibson,F,11th,Stewart High School,Charter,95,86
Joshua Jones,M,12th,Stewart High School,Charter,96,97
Krystal Nolan,F,9th,Stewart High School,Charter,91,90
Judy Ramsey,F,10th,Stewart High School,Charter,98,96
Matthew Smith,M,9th,Stewart High School,Charter,92,91
Maureen Spencer,F,10th,Stewart High School,Charter,99,96
Gregory Guzman,M,9th,Stewart High School,Charter,95,68
Kathleen Meza,F,12th,Stewart High School,Charter,92,84
Michael Mcdowell,M,10th,Stewart High School,Charter,93,90
Fred Stephenson,M,11th,Stewart High School,Charter,91,97
Jason Murphy,M,9th,Stewart High School,Charter,92,87
Carol Cunningham,F,11th,Stewart High School,Charter,93,89
Julia Nixon,F,10th,Stewart High School,Charter,99,92
Jamie Walsh,F,12th,Stewart High School,Charter,96,70
Mary Noble,F,10th,Stewart High School,Charter,93,91
Marvin Wade,M,9th,Stewart High School,Charter,97,68
Mark Wilson,M,12th,Stewart High School,Charter,91,92
Sean Gilmore,M,11th,Stewart High School,Charter,92,80
Riley Brooks,M,12th,Stewart High School,Charter,97,83
Gavin Good,M,10th,Stewart High School,Charter,92,86
Vanessa Jackson,F,9th,Stewart High School,Charter,92,99
Charles Nguyen,M,11th,Stewart High School,Charter,90,85
Michael Alvarez,M,11th,Stewart High School,Charter,97,77
Mary Maldonado,F,11th,Stewart High School,Charter,95,79
Brittany George,F,10th,Stewart High School,Charter,92,75
Jeffrey Steele,M,12th,Stewart High School,Charter,94,92
Matthew Mcbride Jr.,M,11th,Stewart High School,Charter,95,81
Matthew West,M,10th,Stewart High School,Charter,91,96
Jamie Garrison,F,11th,Stewart High School,Charter,93,94
Melissa Butler,F,12th,Stewart High School,Charter,96,87
Melissa Holmes,F,9th,Stewart High School,Charter,96,93
Jonathan Jefferson,M,9th,Stewart High School,Charter,95,87
Dr. Ray Armstrong MD,M,12th,Stewart High School,Charter,93,90
Jessica Griffin,F,11th,Stewart High School,Charter,97,86
Kaitlin Robinson,F,9th,Stewart High School,Charter,98,84
Catherine Graves,F,10th,Stewart High School,Charter,93,96
James Shannon,M,12th,Stewart High School,Charter,93,72
Selena Cherry,F,12th,Stewart High School,Charter,97,99
Glen Farley,M,12th,Stewart High School,Charter,97,78
Linda Robinson,F,10th,Stewart High School,Charter,98,77
David Ramirez,M,12th,Stewart High School,Charter,90,93
Phillip Thompson,M,12th,Stewart High School,Charter,96,81
Joseph Henderson,M,9th,Stewart High School,Charter,90,72
Michelle Gutierrez,F,9th,Stewart High School,Charter,90,70
Melissa Pierce,F,10th,Stewart High School,Charter,96,79
Valerie Davis,F,9th,Stewart High School,Charter,99,70
Jose Avila,M,10th,Stewart High School,Charter,89,77
Sylvia Boone,F,9th,Stewart High School,Charter,91,74
Rebecca Hartman,F,10th,Stewart High School,Charter,93,86
Samantha Rice,F,11th,Stewart High School,Charter,99,76
Brandon Lowe,M,12th,Stewart High School,Charter,97,85
Anthony Hawkins,M,12th,Stewart High School,Charter,97,77
Michelle Duran,F,10th,Stewart High School,Charter,93,86
Ronald Mercer,M,12th,Stewart High School,Charter,99,93
Christina Ortiz,F,9th,Stewart High School,Charter,89,91
Johnny Brown,M,12th,Stewart High School,Charter,97,89
Michele Tran,F,9th,Stewart High School,Charter,97,76
Ms. Ashley Jarvis,F,12th,Stewart High School,Charter,91,90
Colleen Rivera,F,9th,Stewart High School,Charter,89,84
Tracy Francis,F,9th,Stewart High School,Charter,95,68
Joe Baker,M,11th,Stewart High School,Charter,92,89
Jessica Berry,F,9th,Stewart High School,Charter,89,95
William Lawrence,M,9th,Stewart High School,Charter,89,71
Alicia Kim,F,11th,Stewart High School,Charter,95,96
Paul Smith,M,10th,Stewart High School,Charter,92,91
Jessica Ross,F,12th,Stewart High School,Charter,98,97
Lauren Hall,F,10th,Stewart High School,Charter,96,69
Heather Acosta,F,12th,Stewart High School,Charter,90,84
Jessica Wong,F,12th,Stewart High School,Charter,95,90
Paula Stout,F,12th,Stewart High School,Charter,95,95
Robert Harvey,M,12th,Stewart High School,Charter,97,98
Jesse Medina,M,10th,Stewart High School,Charter,91,99
Steven Walter,M,10th,Stewart High School,Charter,97,71
Joann Foster,F,10th,Stewart High School,Charter,90,98
Mary Hall,F,9th,Stewart High School,Charter,96,92
Jordan Johnston,M,9th,Stewart High School,Charter,99,91
Charlene Ramirez,F,9th,Stewart High School,Charter,98,82
Neil Cross,M,11th,Stewart High School,Charter,92,90
Kristina Anderson,F,11th,Stewart High School,Charter,99,81
Patrick Perry,M,12th,Stewart High School,Charter,89,93
Phillip Brennan,M,12th,Stewart High School,Charter,93,84
Cynthia Wolf,F,9th,Stewart High School,Charter,90,90
Lisa Drake,F,11th,Stewart High School,Charter,90,86
Abigail Morgan,F,9th,Stewart High School,Charter,96,79
Isaac Hale,M,9th,Stewart High School,Charter,94,93
Jeffrey Miles,M,9th,Stewart High School,Charter,97,92
Dylan Pearson,M,9th,Stewart High School,Charter,95,86
Nicholas Harrison,M,10th,Stewart High School,Charter,92,77
Brandon Jones,M,9th,Stewart High School,Charter,95,72
Robert Moran,M,9th,Stewart High School,Charter,92,97
Nicole Johnson,F,12th,Stewart High School,Charter,97,77
Cindy Rodriguez,F,12th,Stewart High School,Charter,92,79
Ana Peters,F,10th,Stewart High School,Charter,93,68
Cassidy Riddle,F,10th,Stewart High School,Charter,92,80
Christopher Noble,M,9th,Stewart High School,Charter,92,74
Terry Gomez,M,11th,Stewart High School,Charter,97,75
Brandon Townsend,M,11th,Stewart High School,Charter,90,86
Ashley Payne,F,9th,Stewart High School,Charter,96,88
Jennifer Perkins,F,11th,Stewart High School,Charter,89,74
Vincent Miller,M,10th,Stewart High School,Charter,91,92
Margaret Brown,F,10th,Stewart High School,Charter,90,98
Debra Morgan,F,9th,Stewart High School,Charter,97,77
Tyrone Barr MD,M,10th,Stewart High School,Charter,96,79
Gina Thomas,F,12th,Stewart High School,Charter,92,91
Dean Hopkins,M,10th,Stewart High School,Charter,96,84
Aaron Tyler,M,12th,Stewart High School,Charter,95,85
Joy Ramos,F,12th,Stewart High School,Charter,93,83
Caroline Robertson,F,11th,Stewart High School,Charter,94,82
Karen Rhodes,F,9th,Stewart High School,Charter,91,98
Tina Knight,F,12th,Stewart High School,Charter,95,93
Lisa Cox,F,9th,Stewart High School,Charter,89,91
Austin Walker,M,11th,Stewart High School,Charter,91,77
Michael Meyers,M,9th,Stewart High School,Charter,93,94
Mary Levine,F,12th,Stewart High School,Charter,90,95
John Mcdonald,M,9th,Stewart High School,Charter,91,90
Wayne Reid,M,9th,Stewart High School,Charter,95,94
Trevor Fitzpatrick,M,11th,Stewart High School,Charter,96,81
Ryan Parker,M,10th,Stewart High School,Charter,93,88
Jesus Pittman DDS,M,9th,Stewart High School,Charter,97,90
Daniel Green,M,12th,Stewart High School,Charter,96,76
Michael Bradley,M,10th,Stewart High School,Charter,91,70
Jessica Daugherty,F,9th,Stewart High School,Charter,94,75
Mr. Arthur Kennedy,M,10th,Stewart High School,Charter,92,78
Jose Campbell,M,10th,Stewart High School,Charter,97,82
Joseph King,M,12th,Stewart High School,Charter,89,90
Elizabeth Lamb,F,11th,Stewart High School,Charter,98,68
Andrew Romero,M,10th,Stewart High School,Charter,98,79
William Castro,M,10th,Stewart High School,Charter,94,87
Stephanie Hernandez,F,12th,Stewart High School,Charter,96,98
Sara Williams,F,9th,Stewart High School,Charter,89,93
Alejandra Williams,F,10th,Stewart High School,Charter,95,74
Lawrence Monroe,M,12th,Stewart High School,Charter,94,81
Daniel Bowers,M,9th,Stewart High School,Charter,90,91
Michael Butler,M,11th,Stewart High School,Charter,95,82
Spencer Silva,M,11th,Stewart High School,Charter,95,95
Lee Tucker,M,11th,Stewart High School,Charter,99,81
Matthew Morgan,M,11th,Stewart High School,Charter,96,83
Alicia Stuart,F,10th,Stewart High School,Charter,91,92
Charles Clark,M,9th,Stewart High School,Charter,89,97
Jessica Nelson,F,10th,Stewart High School,Charter,90,90
Dalton Figueroa,M,10th,Stewart High School,Charter,97,72
Nicholas Brown,M,9th,Stewart High School,Charter,93,74
Christopher Moore,M,11th,Stewart High School,Charter,92,78
Micheal Shelton,M,9th,Stewart High School,Charter,98,71
Ashley Baldwin,F,12th,Stewart High School,Charter,91,68
Mr. Juan Oneill DVM,M,10th,Stewart High School,Charter,95,86
Brian Taylor,M,9th,Stewart High School,Charter,89,77
Emily Clarke,F,12th,Stewart High School,Charter,92,91
Kristin Peters,F,11th,Stewart High School,Charter,96,98
Jennifer Hunter,F,9th,Stewart High School,Charter,98,97
Amanda Austin,F,9th,Stewart High School,Charter,97,95
Jennifer Edwards,F,11th,Stewart High School,Charter,99,90
Michael Duncan,M,11th,Stewart High School,Charter,89,72
Gregory Ward,M,10th,Stewart High School,Charter,98,71
Rebekah Burton,F,9th,Stewart High School,Charter,97,98
Glenn Lynch,M,10th,Stewart High School,Charter,98,76
Amanda Miller,F,9th,Stewart High School,Charter,93,91
Dawn Haley,F,12th,Stewart High School,Charter,91,92
George Morse,M,12th,Stewart High School,Charter,90,81
Jennifer Lopez,F,11th,Stewart High School,Charter,96,81
Anthony Walton,M,12th,Stewart High School,Charter,89,74
Barbara Hodges,F,12th,Stewart High School,Charter,92,83
Anita Taylor MD,F,10th,Stewart High School,Charter,96,82
Virginia Zavala,F,9th,Stewart High School,Charter,97,86
Anthony Simpson,M,11th,Stewart High School,Charter,91,87
Sherry Cain,F,11th,Stewart High School,Charter,98,98
Steve Marshall,M,12th,Stewart High School,Charter,95,80
Steven Duran,M,9th,Stewart High School,Charter,99,82
Michael Maxwell,M,10th,Stewart High School,Charter,90,86
Andrea Estes,F,10th,Stewart High School,Charter,98,69
Danielle Mcgee,F,9th,Stewart High School,Charter,91,87
Danny Hess,M,12th,Stewart High School,Charter,93,82
Jack White,M,11th,Stewart High School,Charter,99,98
Mary Sims,F,9th,Stewart High School,Charter,97,82
Larry Hancock,M,12th,Stewart High School,Charter,95,84
Sarah James,F,12th,Stewart High School,Charter,91,74
Benjamin Zhang,M,11th,Stewart High School,Charter,90,74
Kelly Gilbert,F,11th,Stewart High School,Charter,91,89
Lauren Smith,F,11th,Stewart High School,Charter,96,93
Maria Fisher,F,10th,Stewart High School,Charter,93,94
Elizabeth Daniels,F,11th,Stewart High School,Charter,94,98
Amber Gates,F,12th,Stewart High School,Charter,93,76
Tristan Scott,M,9th,Stewart High School,Charter,96,97
Chelsea Hampton,F,9th,Stewart High School,Charter,89,69
Sabrina Ryan,F,10th,Stewart High School,Charter,93,93
John Bailey,M,10th,Stewart High School,Charter,96,85
Kristina Mercado,F,10th,Stewart High School,Charter,99,92
Tammy Stone,F,9th,Stewart High School,Charter,91,83
Eugene Smith,M,9th,Stewart High School,Charter,95,98
Daniel Tapia,M,11th,Stewart High School,Charter,92,83
Katherine Hughes,F,11th,Stewart High School,Charter,89,80
Jonathan Taylor,M,10th,Stewart High School,Charter,95,84
Kenneth Arellano,M,11th,Stewart High School,Charter,95,84
James Morales,M,9th,Stewart High School,Charter,98,87
Margaret Jimenez,F,11th,Stewart High School,Charter,93,68
Brenda Swanson,F,9th,Stewart High School,Charter,98,88
Scott Roth,M,9th,Stewart High School,Charter,98,83
Cynthia Vazquez,F,12th,Stewart High School,Charter,99,90
